STATES,january,february,march,april,may,june,july,august,september,october,november,december
arunachal-pradesh,10.8,87.2,127.6,116.8,325.5,323.1,719.9,150.9,347.5,116.7,13.9,17
assam,2.6,26,50.7,179.3,374.1,313.9,550.6,188.7,280.5,147.7,10.8,2.8
meghalaya,1.2,28.6,18.6,344.1,489.6,632.5,1033.4,271.7,495.3,339.6,24.6,1.5
nagaland,9.6,17.5,55.5,130.2,128.5,214.6,265.7,243.5,285.8,199.3,38.7,3.4
manipur,1.6,12.8,35.8,61.4,62.7,168.8,179.3,109.6,184.5,108.4,33.2,9.6
mizoram,0.5,28.4,18.5,53,181.3,296.1,722,263.2,245.6,121.9,41.6,3.1
tripura,0,48.1,34.3,209.9,328.7,329.1,639.6,196.2,224.1,193,46.1,3.7
sikkim,16.8,73.5,168.7,170.2,375.8,415.8,597.1,327.4,484.8,81.9,6.5,21.7
west-bengal,0.1,73.7,38.7,75.8,135.9,167.1,363.3,313.7,341.9,167,48.2,8
jharkhand,0.9,24.6,19,43.9,47.4,89.3,243.1,260.5,265.9,129.8,0,13.2
bihar,5.1,25.7,3.1,32.4,33.4,97.8,418.5,140.4,392.7,25.5,0,16.6
uttar-pradesh,13.5,23.9,5.1,4.8,3.2,40.2,296.9,169.1,213.8,18.7,4.7,25.7
uttarakhand,76.3,125.4,33.8,39.5,27.8,84.3,288.8,360.1,228.6,32,24,58.2
haryana,14.6,17.1,7.8,11.4,17.7,18.9,131,83.6,21.7,5,13.1,9.7
chandigarh,20,56.8,24.4,35.2,20.4,24.8,321.4,230.2,140.1,0.3,35.8,29.4
delhi,34.8,23.1,5.1,7.9,13.5,6.6,167.4,149.2,57.4,13.5,4.5,22.6
punjab,28.1,73.1,9.4,23.9,20.9,24.9,183.6,156.4,69.6,9.1,25.8,28.3
himachal-pradesh,84.7,194.7,60.7,32.5,41.3,55.5,213.9,320.6,93.1,21.8,49,50.2
jammu-and-kashmir,140,216.9,84.6,57.4,76.4,84.3,194.1,163.7,43.1,30.7,158.9,65
rajasthan,5.4,2.2,1.3,11.6,17,46.3,173.4,248.2,115.8,22.3,17.7,3.8
odisha,1.3,22.9,24.9,38.9,84.9,146.6,300.7,445.2,339.9,176.1,10.7,1.8
madhya-pradesh,5.8,6.9,6.8,9.5,1.9,70.4,360.5,482.6,437.6,47.9,5,11.9
gujarat,0.5,0.3,0,0.6,0.1,84.8,188.1,401.8,318.7,52.4,19.1,1.5
dadra-and-nagar-haveli,0,0,0,0,0,364.7,1513.2,941.3,803.7,106.1,44.8,0
daman-and-diu,0,0,0,0,0,236.8,701.7,600.8,622.3,43.4,64.9,0.3
goa,0,0,0,1.7,1.7,781.7,1302.7,1143.4,689.8,547.7,20.7,0.1
maharashtra,3.7,0.5,2,3.8,0.8,155.6,448.1,381.2,345.1,162.8,21.5,1.8
chhattisgarh,14.9,10.9,12.2,8.2,12.3,129.4,369.1,409.1,348.1,100.3,0.7,5.2
andaman-and-nicobar-islands,173.8,5.8,15.8,35.3,230.9,662.2,212,860.4,596.8,136.6,131.9,24.5
andhra-pradesh,11.5,1.2,4.1,17.7,30.3,61.4,125.4,149.4,229.1,217.4,20.4,31.2
telangana,23.2,1.5,2.1,13.9,11.6,85.8,219.9,260,241.2,160.3,9.4,3
tamil-nadu,2.1,2.7,3.1,18.6,29.9,33.6,58.7,133.3,176,224.5,124.5,103.1
puducherry,0,5,0,3.1,13.7,30.5,125.7,176,221,295.3,218.4,261.4
karnataka,0.8,3.7,3.3,26.4,48.2,151.2,252.3,395.8,232.8,268.7,28.8,10.3
kerala,0.7,12.4,13.9,93.5,62.1,359,574.3,950.5,426,471.4,119.2,36.2
lakshadweep,0,28.1,4.1,22.4,11.4,242.5,489.4,338.4,156.7,503.4,40,306.7
ladakh,5.5,38.2,0.7,0.1,0.8,3.9,9.5,4.8,1.9,0,0,0
