Month,Foreign Tourist Arrivals - 2016,Foreign Tourist Arrivals - 2017,Foreign Tourist Arrivals - 2018,Growth Rate in FTAs - 2017/2016,Growth Rate in FTAs - 2018/2017,Percentage Share - 2017
January,844533,964109,1047948,14.2,8.7,9.61
February,848782,931025,1052766,9.7,13.1,9.28
March,809107,885936,1025830,9.5,15.8,8.83
April,592004,717899,749477,21.3,4.4,7.15
May,527466,622408,606043,18,-2.6,6.2
June,546972,663470,681279,21.3,2.7,6.61
July,733834,779309,806255,6.2,3.5,7.77
August,652111,719129,784814,10.3,9.1,7.17
September,608177,719964,719121,18.4,-0.1,7.17
October,741770,866976,881763,16.9,1.7,8.64
November,878280,997738,1012128,13.6,1.4,9.94
December,1021375,1167840,1191498,14.3,11.29,11.64
